id,source_id,name,company,stage_id,technology,facility_type,city,state,country_code,latitude,longitude,status,measure_type,measure_value,measure_unit,measure_period,source_url,limitation
aderis-energy-cornelius-north-carolina,doe_pv_mfg_map_20260615,Aderis Energy,Aderis Energy,electrical,shared,E-BOS: interconnection hardware,Cornelius,North Carolina,USA,35.458971,-80.854601,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 500 MWdc/yr; this product is not sized against other facilities in the stage.
alencon-systems-hatboro-pennsylvania,doe_pv_mfg_map_20260615,Alencon Systems,Alencon Systems,inverters,shared,Inverters: optimizers,Hatboro,Pennsylvania,USA,40.173554,-75.101258,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 750 MWdc/yr; this product is not sized against other facilities in the stage.
allearth-renewables-williston-vermont,doe_pv_mfg_map_20260615,AllEarth Renewables,AllEarth Renewables,structures,shared,S-BOS: trackers,Williston,Vermont,USA,44.449593,-73.119907,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
alpha-steel-sealy-texas,doe_pv_mfg_map_20260615,Alpha Steel,Alpha Steel,structures,shared,S-BOS: tracker components,Sealy,Texas,USA,29.762858,-96.220353,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
am-tec-designs-north-scandia-minnesota,doe_pv_mfg_map_20260615,Am-Tec Designs,Am-Tec Designs,structures,shared,S-BOS: racking,North Scandia,Minnesota,USA,45.25394,-92.801822,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
american-panel-solutions-tolleson-arizona,doe_pv_mfg_map_20260615,American Panel Solutions,American Panel Solutions,modules,c-si,Modules: c-Si,Tolleson,Arizona,USA,33.429172,-112.271546,active,nameplate-capacity,2,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
american-steel-and-aluminum-auburn-massachusetts,doe_pv_mfg_map_20260615,American Steel and Aluminum,American Steel and Aluminum,structures,shared,S-BOS: ground screws,Auburn,Massachusetts,USA,42.188226,-71.82452,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
american-steel-and-aluminum-liverpool-new-york,doe_pv_mfg_map_20260615,American Steel and Aluminum,American Steel and Aluminum,structures,shared,S-BOS: ground screws,Liverpool,New York,USA,43.118561,-76.197999,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
amphenol-mesa-arizona,doe_pv_mfg_map_20260615,Amphenol,Amphenol,modules,shared,Components: junction boxes,Mesa,Arizona,USA,33.382847,-111.816696,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 4800 MWdc/yr; this product is not sized against other facilities in the stage.
array-technologies-albuquerque-new-mexico,doe_pv_mfg_map_20260615,Array Technologies,Array Technologies,structures,shared,S-BOS: trackers,Albuquerque,New Mexico,USA,35.149885,-106.598831,active,nameplate-capacity,6,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
array-technologies-formerly-apa-solar-racking-napoleon-ohio,doe_pv_mfg_map_20260615,Array Technologies (formerly APA Solar Racking),Array Technologies (formerly APA Solar Racking),structures,shared,S-BOS: racking,Napoleon,Ohio,USA,41.441208,-84.246813,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
asteelflash-usi-fremont-california,doe_pv_mfg_map_20260615,Asteelflash/USI,Asteelflash/USI,structures,shared,E-BOS: tracker components,Fremont,California,USA,37.4938,-121.951567,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
